interaction,ligand,receptor,ligand_means,ligand_props,receptor_means,receptor_props,morans,morans_pvals,mean,std
MFGE8^ITGB5,MFGE8,ITGB5,0.50677764,0.5184833333333333,0.0461282,0.06678333333333333,0.0045233895,0.0,0.009522012,0.4240784
ADAM10^NRCAM,ADAM10,NRCAM,0.059630286,0.08526666666666667,0.17075373,0.2254,0.004394021,0.0,0.009003978,0.3670468
ST6GAL1^CD22,ST6GAL1,CD22,0.051167883,0.07483333333333334,0.16491078,0.2119,0.004339184,0.0,0.008696698,0.3923493
WNT9A^FZD10_LRP6,WNT9A,FZD10_LRP6,0.03542145,0.05321666666666667,0.058011267,0.09568333333333333,0.0042973347,0.0,0.008860417,0.38662142
TGFA^EGFR_ERBB2,TGFA,EGFR_ERBB2,0.053354,0.07851666666666667,0.10616869,0.14596666666666666,0.004251044,0.0,0.008395185,0.37550202
ADAM17^IL6R,ADAM17,IL6R,0.10988979,0.15166666666666667,0.043142073,0.06361666666666667,0.004223171,0.0,0.008851506,0.35627508
NECTIN1^NECTIN4,NECTIN1,NECTIN4,0.06563307,0.09476666666666667,0.07423664,0.10638333333333333,0.0040468643,0.0,0.008250927,0.37632087
CTHRC1^FZD5,CTHRC1,FZD5,0.12843047,0.16871666666666665,0.15103093,0.20476666666666668,0.004004688,0.0,0.008008815,0.4072821
FARP2^PLXNA2,FARP2,PLXNA2,0.092266396,0.13003333333333333,0.053892147,0.07643333333333334,0.0040017744,0.0,0.008157645,0.36741853
COL2A1^SDC1,COL2A1,SDC1,0.048530977,0.05921666666666667,0.072289936,0.10475,0.0039402456,0.0,0.0079209665,0.39165866
GRN^EGFR,GRN,EGFR,0.29538792,0.34503333333333336,0.10819267,0.14703333333333332,0.0038092283,0.0,0.0076608015,0.40850642
ADAM15^ITGAV,ADAM15,ITGAV,0.1608393,0.21365,0.04399407,0.0641,0.0037815792,0.0,0.007574399,0.34942317
WNT9A^FZD7_LRP6,WNT9A,FZD7_LRP6,0.03542145,0.05321666666666667,0.040571854,0.06933333333333333,0.003767125,0.0,0.0075091952,0.35062686
WNT9A^FZD4_LRP6,WNT9A,FZD4_LRP6,0.03542145,0.05321666666666667,0.03845602,0.0647,0.0037570803,0.0,0.007790769,0.35184222
CTHRC1^ROR2,CTHRC1,ROR2,0.12843047,0.16871666666666665,0.046310212,0.06825,0.0037449177,0.0,0.0076354695,0.37134215
